Word,NPhon,NMorph,NSyll
magneto,7,1,3
magnetos,8,2,3
magnets,7,2,2
Magnificat,10,NA,4
magnifications,12,4,5
magnifier,8,3,3
magnifiers,9,4,3
magniloquence,NA,NA,NA
magniloquent,12,NA,4
magniloquently,14,NA,5
Magnol,NA,NA,NA
magnolias,9,2,3
magnums,7,2,2
MAGOG,5,1,2
MAGOUN,NA,NA,NA
mags,4,2,1
MAGUIRE,6,2,2
MAGUIRES,NA,NA,NA
magus,5,NA,2
MAGWITCH,6,2,2
MAGWITCH'S,8,3,3
Magyar,6,1,2
Magyars,7,2,2
MAH,2,NA,1
maharajah,8,1,4
maharajahs,9,2,4
maharani,8,1,4
maharanis,9,2,4
mahatma,7,1,3
mahatmas,8,2,3
MAHAYANA,8,1,4
MAHAYANIST,10,NA,4
MAHLER,4,1,2
MAHLER'S,5,NA,2
MAHMOUD,5,NA,2
mahoganies,9,3,4
MAHONE,5,NA,2
mahout,5,1,2
mahouts,6,2,2
MAHT,NA,NA,NA
MAHUA,5,NA,2
MAHZEER,NA,NA,NA
MAHZEER'S,7,NA,3
MAI,2,NA,1
MAI'TEIPA,NA,NA,NA
maidenhair,7,3,3
maidenlike,7,3,3
maidenly,6,3,3
maidservants,9,4,3
MAIER,3,NA,2
mailbags,7,3,2
mailboats,7,3,2
mailmen,6,2,2
maiming,5,2,2
maims,4,2,1
mainlined,7,3,2
mainlines,7,3,2
mainlining,8,3,3
mainmasts,8,NA,2
mainsails,7,3,2
mainsprings,9,3,2
mainstays,7,3,2
maintainable,9,2,4
MAIS,3,NA,1
maisonette,6,2,3
maisonettes,7,3,3
maisonnette,6,2,3
maisonnettes,7,3,3
MAITLAND,7,2,2
MAITLAND'S,NA,NA,NA
MAITRE,5,1,2
MAITRES,6,NA,2
MAJ,3,NA,1
MAJDANEK,8,NA,3
MAJESTERIAL,10,NA,4
majestical,NA,NA,NA
majolica,8,NA,4
majordomo,8,NA,4
majordomos,9,NA,4
majorette,7,2,3
majorettes,8,3,3
MAJUH,NA,NA,NA
MAKEPEACE,6,2,2
makeweight,6,NA,2
makeweights,7,NA,2
MAKU,NA,NA,NA
MAL,3,1,1
MALABAR,7,1,3
malachite,7,1,3
maladroitly,10,3,4
maladroitness,11,3,4
malaises,7,2,3
MALAMUD,7,NA,3
Malaprop,8,1,3
malapropisms,12,3,5
malarial,8,3,3
Malawi,6,1,3
Malawian,8,NA,4
Malawians,9,NA,4
Malay,4,1,2
Malaya,5,1,2
Malayan,6,2,2
Malayans,7,3,2
Malays,5,2,2
Malaysian,6,3,3
Malaysians,7,4,3
malcontented,12,3,4
malcontents,11,3,3
MALDEN,5,1,2
maledictions,10,4,4
malefactor,9,3,4
malefactors,10,4,4
maleficence,10,NA,4
maleficent,10,NA,4
MALENKOV,8,NA,3
MALESHERBES,8,NA,3
malevolently,12,4,5
malfeasance,9,NA,3
malfeasances,11,NA,4
malfunctioned,10,4,3
malfunctions,10,4,3
MALIA,5,NA,3
Malian,6,2,2
Malians,7,3,2
malignantly,11,3,5
maligning,7,2,3
malignities,10,3,4
malignity,9,2,4
maligns,6,2,2
malingered,8,2,3
malingerer,8,2,4
malingerers,9,3,4
malingering,9,2,4
malingers,8,2,3
MALINOVSKY,10,NA,4
mallards,6,2,2
malleability,11,2,5
mallets,6,2,2
MALLINCKRODT,9,NA,3
MALLORY,6,1,3
MALLORY'S,9,NA,3
mallow,4,1,2
mallows,5,2,2
malls,4,2,1
MALMESBURY,8,NA,3
MALMROS,6,NA,2
malmsey,5,NA,2
MALMUD,6,2,2
MALOCCLUSION,9,4,4
MALONE,5,1,2
MALPOSED,7,3,2
malpractices,12,4,4
MALRAUX,5,NA,2
MALRAUX'S,10,NA,4
Malthusian,10,NA,4
malting,6,2,2
maltreated,9,3,3
maltreating,9,3,3
maltreats,8,3,2
malts,5,2,1
maltster,7,NA,2
maltsters,8,NA,2
malversation,10,NA,4
mam,3,1,1
MAMARONECK,9,NA,4
mamas,5,2,2
mambas,6,NA,2
mambos,6,2,2
MAME,3,NA,1
mammies,5,2,2
mammon,5,1,2
mammoths,6,2,2
mammy,4,1,2
mams,4,2,1
MANA,4,1,2
manacled,7,2,3
manacles,7,2,3
manacling,8,2,4
manageability,12,3,6
manageress,8,3,4
manageresses,10,4,5
MANAGUA,7,1,3
MANAS,5,NA,2
MANASSAS,7,NA,3
manatees,7,2,3
MANDAMUS,8,1,3
mandarins,9,2,3
mandates,7,3,2
mandating,8,3,3
mandatories,10,NA,4
MANDERSCHEID,8,NA,3
MANDHATA,NA,NA,NA
mandibles,8,2,3
MANDO,NA,NA,NA
mandolins,9,2,3
mandragora,9,NA,4
mandrake,7,1,2
mandrakes,8,2,2
MANDREL,7,1,2
mandrill,7,1,2
mandrills,8,2,2
MANERET,6,2,2
MANFRED,7,1,2
manful,5,2,2
manfully,6,3,3
mange,4,1,1
mangers,6,2,2
mangier,6,3,2
mangiest,8,3,3
mangily,7,3,3
mangles,6,2,2
mangling,7,2,3
mangoes,6,2,2
mangosteen,9,1,3
mangosteens,10,2,3
mangrove,7,1,2
mangroves,8,2,2
manhandled,9,3,3
manhandles,9,3,3
manhandling,10,3,4
manhattans,8,2,3
manholes,7,3,2
manhour,5,2,2
maniacally,8,2,3
manias,6,2,2
MANICLIKE,8,2,3
manicured,9,3,3
manicures,9,3,3
manicuring,10,3,4
manicurists,12,4,4
manifestos,10,3,4
manifests,9,2,3
manifolded,10,2,4
manifolding,10,2,4
manifolds,9,2,3
MANIKINS,8,2,3
MANIN,NA,NA,NA
manioc,6,1,3
maniocs,7,2,3
manipulates,11,3,4
MANJUCRI,NA,NA,NA
MANKOWSKI,9,NA,3
MANLEY,5,2,2
MANLEY'S,NA,NA,NA
manlier,6,3,3
manliest,8,NA,3
MANN,3,1,1
MANN'S,4,2,1
mannequins,8,2,3
MANNERHOUSE,7,2,3
MANNING'S,6,NA,2
MANNINGHAM,8,3,3
mannish,5,2,2
mannishly,7,NA,3
mannishness,8,3,3
MANO,4,NA,2
manoeuvrability,13,3,7
manoeuvrable,9,2,5
manoeuvre,6,1,3
manoeuvred,7,2,3
manoeuvrer,7,2,4
manoeuvrers,8,3,4
manoeuvres,7,2,3
manoeuvring,8,2,4
manometer,8,1,4
manometers,9,2,4
manometric,10,NA,4
manometrical,12,NA,5
manometrically,13,NA,6
MANON,5,NA,2
manorial,8,2,3
manque,NA,NA,4
NA,NA,NA,NA
mans,4,2,1
mansard,7,NA,2
mansards,8,NA,2
manse,4,1,1
manservants,9,4,3
manses,6,2,2
MANTEGNA,8,NA,3
mantelpieces,10,3,4
mantels,6,2,2
mantelshelf,9,2,3
mantelshelves,10,3,3
MANTHEY,5,NA,2
mantilla,7,NA,3
mantillas,8,NA,3
mantises,8,2,3
mantled,6,2,2
mantles,6,2,2
mantling,7,2,3
mantraps,8,3,2
MANU,4,NA,2
manumission,9,2,4
manumissions,10,3,4
manumit,8,1,3
manumits,9,2,3
manumitted,10,2,4
manumitting,10,NA,4
manured,7,2,2
manures,7,2,2
manuring,8,2,3
MANVILLE,6,2,2
Manx,5,1,1
MANYE,NA,NA,NA
MANZANITA,9,1,4
MANZANOLA,9,NA,4
Mao,2,1,1
Maoism,5,2,3
Maoist,5,2,2
Maoists,6,3,2
Maori,4,1,2
Maoris,5,2,2
MAPLECREST,9,2,3
mappings,6,3,2
MAQUET,NA,NA,NA
maquis,4,1,2
marabou,6,NA,3
marabous,7,NA,3
maraschinos,9,2,4
marathons,8,2,3
marauded,7,2,3
marauding,7,2,3
marauds,6,2,2
marbled,6,2,2
lodes,4,NA,1
lodestar,7,2,2
lodestars,8,3,2
lodestone,7,2,2
lodestones,8,3,2
lodger,4,2,2
lodgers,5,3,2
lodgments,8,3,2
LODLEY,5,NA,2
LODOWICK,NA,NA,NA
LOEB,3,1,1
LOEN,NA,NA,NA
LOESER,4,NA,2
loess,4,1,2
LOESSER,4,NA,2
LOESSER'S,NA,NA,NA
LOEW'S,10,NA,4
LOEWE,2,NA,1
lofted,6,2,2
loftier,6,3,2
loftiest,8,3,3
loftily,7,3,3
loftiness,8,3,3
lofting,6,2,2
lofts,5,2,1
Logan,5,1,2
loganberries,10,3,4
loganberry,9,2,4
logarithmic,10,2,4
logarithmically,12,3,5
logbooks,7,3,2
loggerheads,8,4,3
loggers,5,3,2
loggia,5,1,2
loggias,6,2,2
logicality,10,3,5
logicians,7,3,3
logics,6,2,2
logistically,10,2,4
logjams,7,3,2
logrolling,8,NA,3
LOHMANS,6,NA,2
loincloths,8,3,2
LOIRE,4,1,1
loitered,5,2,2
loiterer,5,2,3
loiterers,6,3,3
loitering,6,2,3
loiters,5,2,2
LOLA,4,1,2
lolled,4,2,1
lollies,5,2,2
lollipops,8,2,3
lollop,5,1,2
lolloped,6,2,2
lolloping,7,2,3
lollops,6,2,2
lolls,4,2,1
LOLOTTE,NA,NA,NA
LOLOTTE'S,NA,NA,NA
LOMBARD,6,1,2
LOND,NA,NA,NA
longboats,7,3,2
longbows,6,3,2
longheaded,8,NA,3
longhop,6,2,2
longhops,7,3,2
longingly,7,3,3
LONGINOTTI,NA,NA,NA
longish,5,2,2
longships,7,3,2
longstop,7,NA,2
longstops,8,NA,2
longitudinally,12,4,6
LONGSTREET,8,NA,2
longsuffering,9,3,4
LONGTIME,6,2,2
LONGUE,3,1,1
longueur,5,NA,2
longueurs,6,NA,2
longwearing,8,3,3
longwindedly,11,4,4
longwindedness,12,4,4
longwise,6,2,2
LONGWOOD,6,2,2
LONSDALE,7,2,2
LONSDALE'S,8,NA,2
loo,2,1,1
loofahs,5,2,2
lookers,5,3,2
LOOKIT,5,NA,2
lookouts,6,3,2
LOOKY,4,NA,2
LOOMIS,5,NA,2
loonier,5,3,2
loonies,5,3,2
looniest,7,3,3
loons,4,2,1
loonybins,8,4,3
loopier,5,3,3
loopiest,7,3,3
looping,5,2,2
loos,3,2,1
loosebox,7,2,2
looseboxes,9,3,3
loosed,4,2,1
looses,5,2,2
loosing,5,2,2
LOOSLI,NA,NA,NA
looters,5,3,2
loots,4,2,1
LOPATNIKOFF'S,NA,NA,NA
LOPER,4,1,2
lopes,4,2,1
loping,5,2,2
lopping,5,2,2
loppings,6,3,2
lops,4,2,1
loquaciously,10,3,4
loquaciousness,11,3,4
loquat,6,1,2
loquats,7,2,2
lor,3,NA,1
LORAIN,5,NA,2
LORCA,5,NA,2
LORDE,NA,NA,NA
lordlier,7,3,3
lordliest,9,3,3
lordliness,9,3,3
lordships,8,3,2
LORELEI,6,1,3
LOREN,5,1,2
LORENA,6,NA,3
lorgnette,7,NA,2
lorgnettes,8,NA,2
Lori,4,1,2
LORLYN,6,NA,2
lorn,4,1,1
LORRAIN,6,NA,2
LORRAINE,5,1,2
lorries,5,2,2
lorry,4,1,2
LOS,3,1,1
LOTHARIO,7,1,4
LOTTE,4,NA,2
lotteries,7,2,3
LOTTIE,4,1,2
lotuses,7,2,3
LOUCHHEIM,NA,NA,NA
loudhailer,7,3,3
loudhailers,8,4,3
loudmouthed,7,3,2
loudmouths,7,NA,2
loudness,6,2,2
LOUDON'S,6,NA,2
lough,3,1,1
loughs,4,2,1
LOUISIANAN,NA,NA,NA
LOUISIANE,NA,NA,NA
loungers,6,3,2
lour,3,NA,1
loured,4,NA,1
louring,5,NA,2
louringly,7,NA,3
lours,4,NA,1
LOUSIE,4,NA,2
lousier,5,3,2
lousiest,7,3,3
lout,3,1,1
loutish,5,2,2
louts,4,2,1
LOUVERS,5,2,2
louvre,5,1,2
louvred,5,2,2
louvres,5,2,2
lovebirds,7,3,2
lovechildren,10,3,3
LOVEJOY,5,2,2
LOVEJOY'S,6,NA,2
LOVELACE,6,NA,2
lovelier,6,3,2
LOVERING,6,NA,3
loverlike,7,3,3
LOVETT,5,1,2
LOVEWAYS,6,3,2
lovey,4,2,2
LOVIE,4,NA,2
LOVIN,5,NA,2
LOVINGOOD,8,NA,3
lowbrows,6,NA,2
LOWE,2,1,1
LOWE'S,3,NA,1
lowed,3,2,1
LOWELL,4,1,1
LOWELL'S,NA,NA,NA
lowing,4,2,2
lowlander,7,3,3
lowlanders,8,4,3
lowlier,5,3,2
lowliness,7,3,3
LOWN,3,NA,1
lowness,5,2,2
LOY,2,1,1
loyaller,5,NA,3
loyallest,7,NA,3
loyally,5,2,2
lozenges,7,2,3
LUANG,NA,NA,NA
LUBBERLANDERS,10,2,4
lubberly,6,NA,3
lubbers,5,NA,2
LUBBOCK,5,NA,2
LUBELL,5,NA,2
LUBLIN,7,NA,2
LUBLIN'S,NA,NA,NA
LUBRA,5,NA,2
lubricants,10,3,3
lubricates,9,3,3
lubricating,10,3,4
lubrications,10,4,4
lubricator,9,3,4
lubricators,10,4,4
lubricious,8,2,3
lucerne,5,1,2
LUCIA,4,NA,2
LUCIAN,4,1,2
lucidly,7,3,3
LUCIEN,4,1,2
LUCIUS,5,1,2
luckiest,7,3,3
luckiness,7,3,3
lucratively,10,3,4
lucre,4,1,2
LUCRETIA,7,1,3
LUCRETIUS,8,1,3
Ludd,3,1,1
Luddite,5,2,2
Luddites,6,3,2
ludicrously,10,2,4
LUDIE,4,NA,2
LUDLOW,5,1,2
LUDMILLA,7,NA,3
ludo,4,1,2
LUDWICK,6,NA,2
LUDWIG,6,1,2
LUECHTEFELD,NA,NA,NA
LUEGER'S,NA,NA,NA
LUETTE,NA,NA,NA
luff,3,NA,1
luffed,4,NA,1
luffing,5,NA,2
luffs,4,NA,1
LUFTWAFFE,8,2,3
luges,5,2,2
lugger,4,NA,2
luggers,5,NA,2
lugging,5,2,2
lughole,6,NA,2
lugholes,7,NA,2
lugs,4,2,1
lugsail,6,NA,2
lugsails,7,NA,2
lugubrious,9,1,3
lugubriously,11,2,4
lugubriousness,12,2,4
LUI,3,NA,2
LUIS,4,1,2
LUIS'S,7,NA,4
LUISA,5,NA,3
LUISE,NA,NA,NA
lukewarmly,9,3,3
lukewarmness,10,3,3
LUKUKLU,NA,NA,NA
lullabies,7,2,3
lulling,5,2,2
LULLWATER,7,2,3
LULLY,4,NA,2
LULU,4,1,2
lumberjacks,9,3,3
lumberman,8,2,3
lumbermen,8,2,3
lumberroom,8,NA,3
lumberrooms,9,NA,3
lumbers,6,2,2
lumberyards,10,3,3
LUMIA,5,NA,3
LUMIERE,6,NA,1
luminously,9,3,4
lumme,4,NA,2
lummoxes,8,2,3
LUMMUS,5,NA,2
LUMPE,NA,NA,NA
lumpier,6,3,2
lumpiest,8,3,3
lumping,6,2,2
LUMUMBA,7,NA,3
LUMUMBA'S,NA,NA,NA
lunacies,7,3,3
lunate,5,2,2
lunatics,8,3,3
LUNATION,7,NA,3
lunched,5,2,1
lunches,6,2,2
lunching,6,2,2
LUND,4,1,1
LUNDEEN,6,NA,2
LUNDY,5,1,2
lunges,6,2,2
lungfish,6,NA,2
lungfishes,8,NA,3
lunging,6,2,2
lupin,5,1,2
lupins,6,2,2
LURA,4,NA,2
LURAY,4,NA,2
LURCAT,5,NA,1
lurcher,4,2,2
lurchers,5,3,2
lurches,5,2,2
lures,4,2,1
lurgies,6,NA,3
lurgy,NA,NA,NA
luridly,7,2,3
luridness,8,2,3
lusciously,7,2,3
lusciousness,8,2,3
lusher,4,2,2
lushest,6,2,2
LUSIGNAN,8,NA,3
lustfully,7,3,3
lustfulness,9,3,3
lustier,6,3,2
lustiest,8,3,3
lustiness,8,3,3
lustrously,9,3,3
lutanist,8,1,3
lutanists,9,2,3
luted,5,2,2
lutes,4,2,1
Lutherans,7,3,3
LUTHULI,6,NA,3
LUTIHAW,NA,NA,NA
luting,5,2,2
LUTTE,NA,NA,NA
luv,NA,NA,NA
Luxemburger,10,NA,4
Luxemburgers,10,4,4
LUXER,NA,NA,NA
luxuriantly,12,3,4
luxuriously,11,3,4
LUZON,5,1,2
lycee,4,NA,2
lycees,5,NA,2
lyceum,6,1,2
lyceums,7,2,2
lychee,4,1,2
lychees,5,2,2
lychgate,6,2,2
lychgates,7,3,2
LYCIDAS,7,NA,3
LYDIA,5,1,2
LYFORD,5,NA,2
LYFORD'S,NA,NA,NA
LYIN,NA,NA,NA
LYKING,NA,NA,NA
LYMAN,5,NA,2
LYMINGTON,NA,NA,NA
lymphatic,8,2,3
LYMPHOCYTES,9,3,3
lynches,6,2,2
lynching,6,2,2
LYNDON,6,2,2
lynxes,7,2,2
LYON,4,1,1
LYOPHILIZED,NA,NA,NA
lyrebird,7,NA,3
lyrebirds,8,NA,3
lyres,4,2,1
lyrically,7,4,3
lyricisms,9,4,4
LYRIIST,NA,NA,NA
LYTTLETON,8,NA,3
mac,3,1,1
macadam,7,2,3
macadamize,9,3,4
macadamized,10,4,4
macadamizes,11,4,5
macadamizing,11,4,5
macaroons,8,2,3
MACASSAR,6,1,3
MACAULAY,6,2,3
MACAULAY'S,7,NA,3
macaws,5,2,2
MACCABEUS,NA,NA,NA
MACEDON,7,2,3
Macedonian,10,2,4
Macedonians,11,3,4
macerate,7,1,3
LEV,3,1,1
Levant,6,NA,2
levanted,8,NA,3
Levantine,8,NA,3
Levantines,9,NA,3
levanting,8,NA,3
levants,7,NA,2
levees,5,2,2
LEVEL'S,6,NA,2
leveller,5,2,3
levellers,6,3,3
levelling,6,2,3
levered,5,2,2
leveret,7,1,3
leverets,8,2,3
LEVERETT,6,NA,3
levering,6,2,3
leviathans,8,2,3
LEVIN,5,1,2
LEVINGER'S,9,NA,3
levitated,9,3,4
levitates,8,3,3
levitating,9,3,4
levitations,9,4,4
levities,7,3,3
LEVITT,5,1,2
LEVITTOWN,8,NA,3
levodopa,8,NA,4
levying,6,2,3
LEW,2,1,1
LEW'S,NA,NA,NA
lewder,4,2,2
lewdest,6,2,2
lewdness,6,2,2
LEWELLEYN,NA,NA,NA
LEWELLYN,6,NA,3
LEWIS'S,6,2,3
LEWISOHN,6,NA,3
LEX,4,1,1
lexes,6,2,2
lexically,8,4,3
lexicographer,12,4,5
lexicographers,13,5,5
lexicography,12,4,5
lexicons,9,4,3
LEXICOSTATISTIC,NA,NA,NA
LEXICOSTATISTICS,17,NA,6
lexis,6,NA,2
ley,2,NA,1
LEYDEN,4,2,2
leys,3,NA,1
LEYTE,4,NA,2
LI'L,NA,NA,NA
liaise,4,1,2
liaised,5,2,2
liaises,6,2,3
liaising,6,2,3
liana,5,NA,3
lianas,6,NA,3
liane,4,NA,2
lianes,5,NA,2
Lib,3,1,1
libations,7,4,3
libber,4,2,2
libbers,5,3,2
libelled,5,2,2
libelling,6,2,3
LIBELLOS,7,2,3
libellous,6,2,3
libellously,8,3,4
libels,5,2,2
LIBER,4,NA,2
LIBERACE,8,1,4
liberalities,11,4,5
liberalization,12,4,6
liberalized,10,4,4
liberalizes,11,4,5
liberates,8,3,3
liberations,9,4,4
liberators,9,4,4
Liberian,8,2,3
Liberians,9,3,3
LIBERTIE,6,NA,3
libidinously,10,3,5
libidinousness,11,3,5
libidos,7,3,3
librarianship,12,3,4
Libras,6,2,2
libretti,NA,NA,NA
librettist,9,3,3
librettists,10,4,3
librettos,8,4,3
Libyans,7,3,2
licence,5,1,2
licences,7,2,3
licensees,7,3,3
licentiate,9,NA,4
licentiates,10,NA,4
licentiously,10,3,4
lichgate,6,2,2
lichgates,7,3,2
licit,5,1,2
licentiousness,11,3,4
licitly,7,2,3
lickings,6,NA,2
licks,4,2,1
lido,4,1,2
lidos,5,2,2
LIEBERMAN,7,2,3
LIEBLER,5,NA,2
Liechtensteiner,11,NA,4
Liechtensteiners,12,NA,4
lieder,4,1,2
lief,3,1,1
liegeman,6,NA,2
liegemen,6,2,2
lieges,5,2,2
LIEUT,NA,NA,NA
lieutenancies,10,NA,4
lieutenancy,9,NA,4
lifebelts,8,3,2
lifebuoys,6,3,2
lifelessly,8,3,3
lifelessness,9,3,3
lifelines,7,3,2
lifers,5,3,2
lifetimes,7,3,2
LIFSON,6,NA,2
liftboy,6,2,2
liftboys,7,3,2
liftman,7,2,2
liftmen,7,2,2
ligaments,9,3,3
LIGAND,6,2,2
LIGANDS,7,3,2
ligate,5,2,2
ligated,7,3,3
ligates,6,3,2
ligating,7,3,3
ligatures,7,3,3
LIGGET,5,NA,2
lightbulbs,8,3,2
lightening,6,3,3
LIGHTER'N,NA,NA,NA
lighterage,6,NA,3
lightered,5,3,2
lightering,6,3,3
lightships,7,3,2
lightsome,6,NA,2
lightsomely,8,NA,3
lightsomeness,9,NA,3
lightweights,7,4,2
LIGHTYEARS,7,3,2
LIGNE,3,NA,1
ligneous,7,2,2
lignite,6,2,2
LIKEE,NA,NA,NA
likelier,6,3,2
likeliest,8,3,3
likenesses,8,3,3
LIL,3,NA,1
LILA,4,NA,2
LILI,4,NA,2
LILIAN,6,1,2
LILLIAN,6,1,2
LILLIAN'S,7,NA,3
Lilliputians,10,3,4
Lilo,4,1,2
lilos,5,2,2
lilted,6,2,2
lilts,5,2,1
limbered,6,2,2
limbering,7,2,3
limbers,6,2,2
limbless,6,2,2
limbos,6,2,2
limed,4,2,1
limekilns,8,3,2
limericks,8,2,3
limes,4,2,1
limey,4,2,2
limeys,5,3,2
limier,5,NA,3
limiest,7,NA,3
liming,5,2,2
limitable,8,2,4
limitlessly,10,3,4
limn,3,1,1
limned,4,2,1
limning,5,2,2
limitlessness,11,3,4
limns,4,2,1
limpet,6,1,2
limpets,7,2,2
limpidity,9,2,4
limpidly,8,NA,3
limpness,7,2,2
limy,4,NA,2
linchpin,7,2,2
linchpins,8,3,2
linctus,7,1,2
LINDBERGH'S,11,NA,4
LINDEMANN,8,NA,3
LINDEMANNS,8,NA,2
linden,6,1,2
lindens,7,2,2
LINDSKOG,8,NA,2
lineally,8,NA,4
lineaments,10,NA,4
lineout,5,NA,2
lineouts,6,NA,2
linertrain,8,3,3
linertrains,9,4,3
linesmen,7,NA,2
ling,3,NA,1
lingam,6,NA,2
lingams,7,NA,2
lingerer,6,2,3
lingerers,7,3,3
lingeringly,9,3,4
lingoes,6,2,2
lings,4,NA,1
linings,6,3,2
linkages,8,3,3
linkboy,6,NA,2
linkboys,7,NA,2
linkman,7,NA,2
linkmen,7,2,2
linkup,6,2,2
linkups,7,3,2
linnet,5,NA,2
linnets,6,NA,2
lino,4,1,2
linocut,7,2,3
linocuts,8,3,3
linotype,7,2,3
linotypes,8,3,3
lintel,5,1,2
lintels,6,2,2
LINVILLE,6,NA,2
LINZ,4,1,1
lionization,9,3,4
lionize,6,2,2
lionizes,8,3,3
lionizing,8,3,3
lipids,6,NA,2
LIPOWA,NA,NA,NA
LIPPI,4,NA,2
LIPPINCOTT,8,NA,3
LIPPMAN,6,NA,2
LIPPMANN,6,2,2
LIPSON,6,NA,2
lipsticks,8,3,2
LIPTON,6,2,2
liquefied,8,3,3
liquefies,8,3,3
liquefying,9,3,4
liquesce,NA,NA,NA
liquesced,NA,NA,NA
liquescent,9,NA,3
liquesces,NA,NA,NA
liquescing,NA,NA,NA
liqueurs,5,2,2
liquidates,9,4,3
liquidator,9,4,4
liquidators,10,5,4
liquidized,9,4,3
liquidizer,9,4,4
liquidizers,10,5,4
liquidizes,10,4,4
liquidizing,10,4,4
liquorice,7,1,3
liquors,5,2,2
liras,5,2,2
lire,4,1,2
LISE,4,NA,2
lisped,5,2,1
lispingly,8,3,3
lisps,5,2,1
LISS,3,1,1
LISSA,4,NA,2
lissom,5,NA,2
lissomly,7,NA,3
lissomness,8,NA,3
LISTE,NA,NA,NA
listenable,9,NA,4
LISTENIN,NA,NA,NA
listlessness,10,3,3
LISTON,6,NA,2
litanies,7,2,3
literals,8,3,3
literately,8,NA,4
literateness,10,3,4
literates,7,NA,3
literati,8,NA,4
lithely,5,2,2
lithographed,9,3,3
lithographic,10,3,4
lithographically,12,5,5
lithographing,10,3,4
litigated,9,3,4
litigates,8,3,3
litigating,9,3,4
litigiousness,10,3,4
LITLE,5,NA,2
litotes,7,NA,3
LITOWSKI,NA,NA,NA
litre,4,1,2
litres,5,2,2
LITTA,NA,NA,NA
LITTAU,5,2,2
litterateur,7,NA,4
litterateurs,8,NA,4
litterbags,8,3,3
litterbins,8,3,3
litterbugs,8,3,3
litterlout,7,2,3
litterlouts,8,3,3
littleness,7,2,3
LITTLEPAGE,8,NA,3
LITTLEPAGE'S,9,3,4
littler,5,2,3
LITTLETON'S,10,NA,4
littoral,7,1,3
littorals,7,NA,3
liturgically,9,4,4
liturgies,7,3,3
liveliest,8,3,3
livelihoods,9,4,3
liveries,7,2,3
liverish,6,2,3
LIVERMORE,7,2,3
liverymen,9,2,4
lividly,7,2,3
livings,6,3,2
LIVRES,4,1,2
LIZZIE,4,2,2
LIZZIE'S,NA,NA,NA
llamas,5,2,2
LLEWELLYN,7,1,3
loafers,5,3,2
loafing,5,2,2
loafs,4,2,1
loafsugar,7,NA,3
loamier,5,3,3
loamiest,7,NA,3
loamy,4,2,2
loaning,5,2,2
loanword,6,2,2
loanwords,7,3,2
loathes,4,2,1
loathlier,6,NA,3
loathliest,8,NA,3
loathly,5,NA,2
loathsomely,7,3,3
loathsomeness,8,3,3
lobbed,4,2,1
lobbing,5,2,2
lobbying,6,2,3
lobbyists,8,3,3
lobed,4,2,1
LOBLOLLY,7,NA,3
LOBO,4,1,2
lobotomies,9,4,4
lobs,4,2,1
LOBSCOUSE,7,1,2
lobsterpots,10,NA,3
lobsters,7,2,2
localism,8,2,4
localizations,11,4,5
localizes,9,3,4
localizing,9,3,4
locals,6,2,2
locates,6,2,2
LOCATIN,7,NA,3
loch,3,1,1
lochs,4,2,1
lockable,6,2,3
LOCKE'S,4,2,1
lockers,5,3,2
lockets,6,2,2
LOCKHEED,6,2,2
LOCKHEED'S,7,3,2
LOCKIAN,6,2,2
LOCKIES,NA,NA,NA
locknut,6,2,2
locknuts,7,3,2
lockouts,6,3,2
locksmiths,8,3,2
lockstitches,9,3,3
lockups,6,3,2
locum,5,1,2
locums,6,2,2
locusts,7,2,2
locutions,8,3,3
languishes,9,2,3
languorous,7,2,3
languorously,9,NA,4
langur,6,NA,2
langurs,7,NA,2
LANIN'S,7,NA,3
lankier,6,3,2
lankiest,8,3,3
lankily,7,3,3
lankiness,8,3,3
lankly,6,2,2
lankness,7,2,2
LANTE,NA,NA,NA
lanternslide,10,NA,3
lanternslides,11,NA,3
LANTHANUM,8,1,3
lanyards,7,2,2
LANZA,5,NA,2
LAO,2,1,1
LAODICEAN,9,1,3
lapdogs,7,NA,2
lapidaries,9,2,4
LAPLACE,6,1,2
LAPPENBERG,8,NA,3
LAPPETS,6,2,2
lapwing,6,2,2
lapwings,7,3,2
LARAMIE,6,1,3
larboard,7,NA,2
larcenies,8,3,3
larch,4,1,1
larches,6,2,2
larded,6,NA,2
larders,6,2,2
larding,6,2,2
lards,5,2,1
largeish,6,NA,2
largeness,7,2,2
largo,5,1,2
largos,6,2,2
lariat,6,1,2
lariats,7,2,2
LARIMER,6,NA,3
LARKIN,6,1,2
LARKIN'S,7,NA,2
LARKINS,7,NA,2
larkspurs,8,3,2
larrup,5,NA,2
larruped,6,NA,2
larruping,7,NA,3
larrups,6,NA,2
LARS,4,1,1
LARSON,5,2,2
LARSON'S,7,NA,2
laryngeal,9,2,3
laryngoscope,11,2,4
laryngoscopes,12,3,4
larynxes,9,2,3
LAS,3,1,1
lascar,5,1,2
lascars,6,2,2
lasers,5,2,2
lassies,5,3,2
lasciviously,10,2,4
lasciviousness,11,2,4
lassitude,7,1,3
lassoed,5,2,2
lassoes,5,2,2
lassoing,6,2,3
LASSUS,6,NA,2
LASSWITZ'S,9,4,3
LASWICK,6,NA,2
lat,3,NA,1
latching,5,2,2
latchkeys,6,3,2
latecomers,8,4,3
lateen,5,1,2
LATEINER,NA,NA,NA
lateness,6,2,2
laterally,8,2,4
laterals,8,2,3
LATERAN,6,NA,3
laterite,7,1,3
lathering,6,2,3
